,month,unique_carrier,origin_airport_id,dest_airport_id,distance,arr_delay,carrier_avg_monthly_payload,carrier_avg_monthly_psngr,carrier_avg_monthly_dep_scheduled,carrier_avg_monthly_r2r,airport_avg_taxi_out,airport_avg_taxi_in
309,6,WN,15016,10397,484,-5.0,173600.0,647.0,18.0,642.0,15.3,9.48
310,5,DL,14027,10397,545,-14.0,2259386.0,6285.0,65.0,9911.0,11.0,9.48
311,5,DL,13422,10397,302,-18.0,2259386.0,6285.0,65.0,9911.0,13.0,9.48
312,8,DL,12339,10397,432,-19.0,1040940.0,3446.0,29.17,4786.5,26.0,9.48
313,8,DL,11252,10397,366,6.0,1040940.0,3446.0,29.17,4786.5,15.0,9.48
314,8,DL,15096,10397,794,-13.0,1040940.0,3446.0,29.17,4786.5,9.5,9.48
315,1,DL,10868,10397,192,-17.0,1636689.0,4818.0,29.8,9688.5,9.0,9.48
316,6,DL,11433,10529,549,-2.0,1612228.5,5781.5,56.25,5836.0,18.65,4.67
317,1,WN,11697,10529,1173,-8.0,217000.0,595.0,9.9,683.0,18.67,4.67
318,3,NK,11433,15304,983,-6.0,910000.0,3666.0,25.0,4076.0,18.65,5.88
319,1,WN,10397,15304,406,0.0,217000.0,595.0,9.9,683.0,16.59,5.88
320,3,AA,14100,15304,920,-22.0,1501500.0,4827.0,33.8,4081.0,22.22,5.88
321,3,NK,11042,15304,927,-7.0,910000.0,3666.0,25.0,4076.0,13.0,5.88
322,2,UA,12266,15304,787,2.0,222585.5,578.5,9.42,555.0,18.5,5.88
323,7,WN,11066,15304,829,-21.0,1128400.0,3585.0,55.54,4874.0,12.0,5.88
324,3,OO,12892,10372,737,-31.0,420000.0,1874.0,31.0,2596.0,18.64,2.0
325,9,WN,12892,13198,1363,82.0,1715400.0,5348.5,47.38,5222.0,18.64,4.38
326,4,WN,13232,13198,405,-10.0,737800.0,2428.0,27.86,1692.0,10.31,4.38
327,1,WN,15304,13198,1048,1.0,217000.0,595.0,9.9,683.0,14.0,4.38
328,1,AS,14747,13198,1489,3.0,212600.0,817.0,8.0,1361.0,16.46,4.38
329,3,WN,13342,13198,436,-6.0,325500.0,1160.5,13.42,920.5,14.29,4.38
330,1,WN,12892,14831,308,28.0,217000.0,595.0,9.9,683.0,18.64,3.9
331,4,WN,14107,14831,621,-4.0,737800.0,2428.0,27.86,1692.0,13.36,3.9
332,5,AA,14107,14831,621,-15.0,2783300.0,8598.0,73.8,8516.0,13.36,3.9
333,5,DL,13487,14831,1575,-21.0,2259386.0,6285.0,65.0,9911.0,17.79,3.9
334,5,WN,12954,14831,324,-9.0,1764600.0,6204.0,49.57,5697.0,8.0,3.9
335,4,AS,14057,14831,569,-18.0,617150.0,2225.5,22.5,5261.0,12.56,3.9
336,7,WN,10800,14831,296,-11.0,1128400.0,3585.0,55.54,4874.0,12.5,3.9
337,8,WN,12892,12191,1390,18.0,675300.0,2151.0,28.5,2738.5,18.64,6.92
338,7,WN,12953,12191,1428,-23.0,1128400.0,3585.0,55.54,4874.0,27.09,6.92
339,6,WN,10693,12191,670,-5.0,173600.0,647.0,18.0,642.0,15.8,6.92
340,1,WN,15304,12191,781,-10.0,217000.0,595.0,9.9,683.0,14.0,6.92
341,4,WN,12889,12191,1235,9.0,737800.0,2428.0,27.86,1692.0,14.32,6.92
342,4,WN,14107,12191,1020,9.0,737800.0,2428.0,27.86,1692.0,13.36,6.92
343,1,WN,10721,12191,1609,-20.0,217000.0,595.0,9.9,683.0,22.71,6.92
344,6,WN,15016,12191,687,-8.0,173600.0,647.0,18.0,642.0,15.3,6.92
345,7,WN,14057,12191,1843,-9.0,1128400.0,3585.0,55.54,4874.0,12.56,6.92
346,8,WN,12892,14570,391,-15.0,675300.0,2151.0,28.5,2738.5,18.64,6.33
347,5,OO,14831,14570,188,-15.0,344240.0,1407.5,31.25,2839.5,12.62,6.33
348,5,NK,12892,11697,2343,175.0,36400.0,157.0,1.0,163.0,18.64,5.73
349,4,UA,12264,11697,901,-4.0,195180.0,598.0,16.86,860.0,19.57,5.73
350,4,AA,11057,11697,632,59.0,2111000.0,5018.0,40.86,7360.0,24.32,5.73
351,2,WN,11259,11697,1108,1.0,629300.0,2150.0,20.25,2178.5,21.0,5.73
352,5,B6,10423,11697,1105,-8.0,1577900.0,6300.0,35.0,8727.5,14.78,5.73
353,3,B6,12478,11697,1069,46.0,427800.0,1409.5,16.0,2121.0,25.64,5.73
354,3,UA,12266,11697,966,20.0,196866.0,775.0,11.14,946.0,18.5,5.73
355,5,NK,12898,11697,980,-16.0,36400.0,157.0,1.0,163.0,10.0,5.73
356,5,AA,12892,11298,1235,25.0,2783300.0,8598.0,73.8,8516.0,18.64,11.96
357,1,NK,12892,11298,1235,98.0,638000.0,2660.0,22.0,4468.0,18.64,11.96
358,1,AA,12953,11298,1389,12.0,1652900.0,5487.0,58.22,7776.0,27.09,11.96
359,7,AA,12953,11298,1389,-29.0,1332600.0,4859.0,48.64,4470.0,27.09,11.96
360,5,AA,10397,11298,731,-5.0,2783300.0,8598.0,73.8,8516.0,16.59,11.96
361,4,AA,10397,11298,731,115.0,2111000.0,5018.0,40.86,7360.0,16.59,11.96
362,8,NK,12889,11298,1055,-4.0,1817500.0,7353.0,45.5,8359.0,14.32,11.96
363,3,AA,13244,11298,431,0.0,1501500.0,4827.0,33.8,4081.0,12.5,11.96
364,3,AA,13244,11298,431,-20.0,1501500.0,4827.0,33.8,4081.0,12.5,11.96
365,8,AA,14100,11298,1303,0.0,1355450.0,4577.0,28.75,8604.5,22.22,11.96
366,7,AA,13303,11298,1121,12.0,1332600.0,4859.0,48.64,4470.0,25.0,11.96
367,1,AA,10529,11298,1471,35.0,1652900.0,5487.0,58.22,7776.0,16.75,11.96
368,1,AA,12278,11298,328,-15.0,1652900.0,5487.0,58.22,7776.0,20.5,11.96
369,1,AA,13495,11298,447,-11.0,1652900.0,5487.0,58.22,7776.0,14.0,11.96
370,7,AA,13495,11298,447,-17.0,1332600.0,4859.0,48.64,4470.0,14.0,11.96
371,1,AA,10721,11298,1562,-8.0,1652900.0,5487.0,58.22,7776.0,22.71,11.96
372,4,AA,13487,11298,852,12.0,2111000.0,5018.0,40.86,7360.0,17.79,11.96
373,8,AA,11066,11298,926,-21.0,1355450.0,4577.0,28.75,8604.5,12.0,11.96
374,7,AA,14683,11298,247,-12.0,1332600.0,4859.0,48.64,4470.0,14.5,11.96
375,2,AA,14635,11298,1017,1.0,977700.0,2927.0,24.2,5228.0,13.88,11.96
376,7,AA,10800,11298,1231,73.0,1332600.0,4859.0,48.64,4470.0,12.5,11.96
377,5,AA,14122,11298,1067,10.0,2783300.0,8598.0,73.8,8516.0,13.75,11.96
378,4,AA,13851,11298,175,-8.0,2111000.0,5018.0,40.86,7360.0,13.0,11.96
379,9,AA,15624,11298,641,-19.0,870850.0,2750.0,17.5,3927.5,18.0,11.96
380,6,AA,15624,11298,641,-8.0,809050.0,2745.5,20.5,3775.5,18.0,11.96
381,4,DL,12892,14893,373,-18.0,54780.0,122.5,17.25,209.0,18.64,5.11
382,9,OO,14771,14893,86,2.0,372400.0,1386.5,29.88,3909.5,20.26,5.11
383,1,OO,14771,14893,86,120.0,625100.0,1913.5,64.5,4502.5,20.26,5.11
384,1,WN,12889,14893,397,-9.0,217000.0,595.0,9.9,683.0,14.32,5.11
