month,airline_id,unique_carrier,tdomt_cost,tdomt_gallons
5,20405,N8,218715,102838
1,20151,M6,1023337,513000
10,19977,UA,195620601,133758006
5,20408,5V,1080815,338685
11,20108,NC,974974,460916
9,19917,5X,64633000,35554000
2,19930,AS,110131726,51844705
7,19977,UA,346587636,160622317
3,20436,F9,15587483,14743364
12,20190,9S,3249746,897720
4,20207,XP,176216,88573
1,19790,DL,325715496,130116496
1,20377,X9,717850,427170
11,19393,WN,324347177,164027708
8,20370,KAQ,1859764,1061612
1,21492,1BQ,32362,4597
1,20422,SY,9034510,4116225
9,20377,X9,600733,350893
6,19393,WN,304998125,180817409
10,21492,1BQ,113313,74629
6,20409,B6,83355278,52913453
1,20046,ZW,7953100,6016332
8,19930,AS,138106879,66100174
8,19874,8C,38689,15126
9,20304,OO,21210772,8231728
11,21629,KD,34116,34116
8,20453,ABX,435624,179809
1,20436,F9,33033803,19219538
3,20370,KAQ,1967553,1017046
8,20422,SY,7073932,4046304
8,19790,DL,394893012,206920890
12,21171,VX,18730226,15147453
3,20377,X9,695256,345088
4,19977,UA,280800266,137776920
9,20370,KAQ,1592062,1042951
7,20402,GL,312235,216723
3,20368,G4,29624417,14700823
12,19977,UA,195282413,129678635
4,20100,PO,4804429,2658689
9,20046,ZW,10897010,6636047
12,20308,WE,0,186690
9,20370,KAQ,5306614,2675407
3,20108,NC,837509,476781
10,20377,X9,526139,326188
2,20405,N8,129227,40867
7,20416,NK,37646874,20130428
11,20372,KLQ,325783,150091
5,20169,L2,632265,231258
3,20190,9S,1917359,913028
5,20100,PO,6765516,3039835
8,20452,YX,23058025,14684188
11,20007,5Y,12252236,7301656
11,20007,5Y,10288436,5192984
12,20436,F9,25867247,17463793
3,20453,ABX,125224,61992
3,21629,KD,890349,409946
9,20100,PO,4216942,2183045
6,20405,N8,329849,209214
8,20453,ABX,108224,46663
12,20402,GL,1213975,456854
11,20422,SY,6466883,3628971
1,20452,YX,14986287,12732476
3,21171,VX,24430092,15807018
8,21352,0WQ,104722,34677
9,20166,GFQ,617906,255268
3,21161,09Q,2721022,796100
2,20405,N8,228590,174228
3,20402,GL,1163779,464935
4,19930,AS,50638870,37750045
1,20207,XP,716107,359944
9,20370,KAQ,4341177,1864537
7,19393,WN,401635906,189080213
11,20368,G4,29255555,14354451
4,19790,DL,270564166,159491723
3,19790,DL,344828575,181163772
10,20310,WL,387588,143388
11,20169,L2,681279,258151
5,19690,HA,34161814,16143998
5,19690,HA,34682245,15757332
4,20287,WP,260896,139183
6,21634,KH,846007,385855
10,20207,XP,567549,246721
11,21352,0WQ,437227,154497
10,19977,UA,346072250,149747679
9,20402,GL,714604,305282
4,20366,EV,279676,103937
7,20046,ZW,22107,7268
9,19690,HA,20595770,13392833
7,20366,EV,75814,108679
8,19790,DL,277034266,179284649
4,20436,F9,25109153,13356003
5,21629,KD,1681942,777025
6,20452,YX,35171,13447
5,20408,5V,941077,432867
5,19977,UA,324208102,153949739
5,20287,WP,402073,246723
7,19977,UA,222524850,153765967
11,20368,G4,20825127,12449136
9,20408,5V,1262813,406542
3,20310,WL,137262,48672
11,20416,NK,32293975,20168432
5,20447,U7,905240,562261
4,20452,YX,81246,33454
10,20408,5V,999862,428555
7,20409,B6,139038615,60441448
7,20107,FX,80848000,58396390
3,20372,KLQ,364257,157011
12,20416,NK,62878234,31404327
9,20169,L2,544894,194394
9,20416,NK,66084009,32308811
11,19690,HA,19170792,13116519
8,20166,GFQ,236707,94612
10,20370,KAQ,1873721,1102916
2,20372,KLQ,447767,182243
12,20166,GFQ,159039,89341
10,20304,OO,23651438,8642187
7,20416,NK,80953479,38320573
4,21492,1BQ,11009,4730
9,19805,AA,274554515,162318178
8,20452,YX,15891945,12008810
12,20402,GL,723520,321166
2,21629,KD,18351,18351
6,20007,5Y,15200722,8617482
6,20422,SY,7688503,3772443
11,20370,KAQ,6228556,2782916
11,20207,XP,953478,388236
8,21634,KH,606746,453731
6,20436,F9,26852011,19568585
9,21236,0JQ,83913,30827
12,21492,1BQ,201690,81656
6,20408,5V,1140102,503565
8,19874,8C,48341,23473
8,20366,EV,242305,93692
3,19790,DL,385807332,189695114
11,20409,B6,96789777,51573000
7,20169,L2,756669,290306
9,19790,DL,280177726,159091986
8,19393,WN,323217531,176538201
7,20287,WP,269709,176438
7,20372,KLQ,184624,82070
9,20304,OO,20313626,8834786
7,20402,GL,460260,202112
9,20377,X9,914458,363727
11,21171,VX,23245688,16412225
4,21161,09Q,1094419,360612
5,20310,WL,180704,51134
2,20452,YX,85698,41318
7,20453,ABX,52942,16240
3,21634,KH,842919,426607
4,20402,GL,815200,358934
5,19393,WN,371853619,177441553
3,19790,DL,398876443,150807913
11,20304,OO,9215756,4926591
12,20169,L2,543257,218302
3,20416,NK,64480985,30875049
1,20405,N8,189081,137248
9,20151,M6,814496,341985
4,19874,8C,20003,15860
6,20405,N8,39743,9499
9,20447,U7,917567,457621
10,20447,U7,1741776,740406
6,20447,U7,988147,641654
10,19874,8C,54396,26362
6,21236,0JQ,238538,74738
2,20416,NK,23485111,19937150
7,19790,DL,272794344,183965369
2,19790,DL,538314852,121680165
9,21634,KH,657113,394002
11,20402,GL,1062948,498351
12,19977,UA,253010171,136715783
12,20402,GL,1278214,443923
3,20207,XP,538250,270546
10,19977,UA,188657628,127117672
7,21352,0WQ,85990,29149
11,19690,HA,33017337,15150640
3,21629,KD,0,281778
8,20436,F9,27126119,15868227
10,20046,ZW,10657733,6797089
12,20166,GFQ,157361,71086
11,20366,EV,32347,2639
12,20108,NC,826432,401947
2,19874,8C,118249,48487
8,20046,ZW,12331499,7127324
6,20169,L2,393288,153039
12,19917,5X,97938000,52377000
1,20448,S5,3841009,3793819
9,20422,SY,9354414,3309735
8,19930,AS,68451612,38688304
1,20310,WL,55729,21791
7,19917,5X,88737000,45011000
8,20007,5Y,15124318,6770543
5,20046,ZW,8792834,6510272
9,19977,UA,316362926,142507092
8,19805,AA,381593620,203192653
8,20408,5V,1294445,461062
2,20100,PO,2449532,2202955
3,20453,ABX,43887,24522
11,20166,GFQ,662901,281283
9,20007,5Y,35106509,16151077
4,20304,OO,20297087,8262780
8,21629,KD,3565142,1548015
12,21352,0WQ,78476,24221
7,19690,HA,26911761,15202538
6,20452,YX,15883727,11611850
6,20447,U7,899896,448144
7,19805,AA,353850177,201980963
3,19977,UA,221282227,122086218
3,20377,X9,596824,349441
2,20453,ABX,109537,52160
7,20416,NK,82463340,35033773
1,20416,NK,63997667,29081619
9,21161,09Q,2120004,1141860
6,20287,WP,560715,352203
6,21650,EE,5376,3200
1,20007,5Y,8575368,4850893
10,20190,9S,2100827,580339
11,20416,NK,69626989,30177938
8,19930,AS,151711520,64273462
6,19917,5X,51063000,34866000
6,20447,U7,887139,554462
1,20436,F9,14532960,14496478
2,19790,DL,308111950,149957685
12,20422,SY,7726423,4394891
7,20452,YX,27154965,15430476
11,20447,U7,649079,413318
2,21161,09Q,702645,265742
6,19930,AS,70305517,43054527
10,20195,WI,136425,53201
10,19917,5X,50319000,33826000
9,20409,B6,73436304,48995178
9,20287,WP,225221,161426
10,20409,B6,137819798,56269870
11,20405,N8,351156,135956
6,21492,1BQ,18431,3864
6,20310,WL,144023,62239
9,21629,KD,15676,15676
2,20408,5V,851317,329727
11,20190,9S,3004637,1277479
7,19917,5X,52018000,35444000
10,20169,L2,376581,169063
2,21171,VX,19821416,10884444
3,20405,N8,408328,284788
2,20408,5V,619519,287095
4,20405,N8,0,100
10,20368,G4,29388053,14985776
12,20169,L2,282536,133882
5,20304,OO,22436510,8838081
12,20409,B6,80589018,51372975
3,19917,5X,74536000,38682000
9,20422,SY,5706868,3460835
5,19930,AS,149141897,61930261
1,20377,X9,819859,387380
11,20402,GL,1132964,450332
8,20100,PO,4305348,2215213
10,20405,N8,256199,80116
12,19930,AS,124358971,58393891
